,refcode,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,exp_a,exp_b,exp_c,exp_alpha,exp_beta,exp_gamma,exp_V,opt_a,opt_b,opt_c,opt_alpha,opt_beta,opt_gamma,opt_V,E_V,E_R,E_H,E_RH,K_V,K_R,K_H,K_RH,G_V,G_R,G_H,G_RH,n_H,A_L
0,OBUQAD,13.64,7.09,6.97,0.0,-0.83,0.04,7.09,13.28,7.49,0.0,0.86,0.03,6.97,7.49,14.48,-0.0,-1.01,0.02,0.0,0.0,-0.0,2.43,0.0,1.09,-0.83,0.86,-1.01,0.0,4.42,0.0,0.04,0.03,0.02,1.09,0.0,3.08,12.768,9.925,8.211,90.0,100.34,90.0,1023.6195896417094,13.217314477581612,9.173165535786428,8.41647325229034,89.997705289393,98.2380948352503,90.00202187672211,1009.922186431075,8.884186893717967,7.75211233051935,8.318149612118658,8.035130971319004,9.38888888888889,9.353030843634563,9.370959866261726,9.361995354948146,3.309333333333334,2.8461467691403186,3.0777400512368263,2.9619434101885727,0.3519872279340246,0.33717758739441495
1,REXNUF,19.57,14.26,16.52,0.42,1.13,-2.26,14.26,19.5,15.09,2.1,-3.31,-1.8,16.52,15.09,28.06,0.56,5.45,-2.4,0.42,2.1,0.56,6.08,-2.16,-2.78,1.13,-3.31,5.45,-2.16,9.2,-1.26,-2.26,-1.8,-2.4,-2.78,-1.26,6.11,5.2649,8.683700000000002,10.191999999999998,105.83,96.18,101.4,432.95317488655616,5.360453601730629,9.107820508106816,9.591634780604688,100.06992382698266,96.21948980604832,107.92307328830654,432.07291634595344,15.426884107390483,8.452163914763197,11.939524011076841,10.19584396292002,17.65222222222222,15.921539092925837,16.78688065757403,16.354209875249936,5.695333333333333,2.9939878444786188,4.344660588905976,3.6693242166922975,0.3808709470893198,1.4415810521053036
2,JUSNAO,11.22,8.56,7.45,0.09,-0.58,0.24,8.56,13.31,8.05,1.13,0.43,0.57,7.45,8.05,12.85,-0.72,0.89,-0.28,0.09,1.13,-0.72,4.75,-0.56,-0.74,-0.58,0.43,0.89,-0.56,1.87,-0.34,0.24,0.57,-0.28,-0.74,-0.34,1.6,9.142,9.597,21.122000000000003,93.81,92.06000000000002,104.898,1784.198969684739,8.985542473234318,9.401361507296212,21.143174053854317,93.06947784472644,93.17062086962233,106.00723418025474,1709.8072030573337,6.976218097447797,4.843038781995669,5.9096284397217325,5.376333610858701,9.5,9.354365828887323,9.427182914443662,9.390774371665493,2.5320000000000005,1.7128807369077994,2.1224403684539,1.9176605526808497,0.3952880643071,0.874065487696717
3,NIKFET,13.1,6.71,7.34,-0.02,-0.35,-0.0,6.71,21.41,10.28,-0.02,-0.36,0.01,7.34,10.28,21.37,-0.04,-0.62,-0.01,-0.02,-0.02,-0.04,3.78,0.02,-0.39,-0.35,-0.36,-0.62,0.02,0.76,0.0,-0.0,0.01,-0.01,-0.39,0.0,1.83,6.9322,14.533,11.7063,90.0,102.616,90.0,1150.88427975432,6.863266909740621,14.37184722903577,11.409142750799726,90.0081651048471,95.6528615599503,90.00500997925586,1119.9002418336315,9.236773405888098,5.469399220133064,7.35308631301058,6.411242766571823,11.615555555555556,10.399855030163057,11.007705292859306,10.703780161511181,3.377333333333333,1.9362786793963997,2.6568060063648664,2.296542342880633,0.3883066778453601,1.248868892867062
4,HAYHUL,17.43,10.73,10.56,0.0,1.16,-0.0,10.73,28.06,12.62,0.0,3.63,0.0,10.56,12.62,17.72,0.0,-0.52,-0.0,0.0,0.0,0.0,5.36,-0.0,3.35,1.16,3.63,-0.52,-0.0,6.42,-0.0,-0.0,0.0,-0.0,3.35,-0.0,6.18,17.08,9.994,18.353,90.0,116.27,90.0,2809.2494752487714,17.133076990152222,9.985657615110126,18.47084025806541,90.00074852332934,116.01811203032932,89.9994491305362,2839.827043849936,14.761794048731598,11.342226866167344,13.052010457449471,12.197118661808407,14.558888888888893,13.639265506441077,14.099077197664986,13.869171352053032,5.545333333333334,4.165641213795403,4.855487273564368,4.510564243679886,0.3455395344018686,0.6430279130424662
5,WACYOP,18.08,6.58,10.53,-0.0,0.17,0.0,6.58,23.6,9.22,0.0,2.43,-0.0,10.53,9.22,16.96,0.0,0.65,-0.0,-0.0,0.0,0.0,5.28,-0.0,2.83,0.17,2.43,0.65,-0.0,7.38,0.0,0.0,-0.0,-0.0,2.83,0.0,4.35,12.3951,7.9735,12.619600000000002,90.0,101.41599999999998,90.0,1222.5493061046134,12.530025080091796,8.019046675968363,12.401534581792475,90.00026138599758,101.6418978102513,89.99985827344295,1220.4573381032792,14.496971117779445,10.999918534244308,12.748444826011877,11.874181680128093,12.366666666666667,12.166139872332312,12.26640326949949,12.2162715709159,5.556,4.076128283069344,4.816064141534672,4.446096212302008,0.3264075776366178,0.692772123475132
6,UHOJAF,19.8,7.86,10.05,1.35,-0.23,-2.29,7.86,20.54,10.72,-3.12,0.54,2.59,10.05,10.72,20.44,1.67,2.14,-1.24,1.35,-3.12,1.67,7.75,-1.42,0.24,-0.23,0.54,2.14,-1.42,5.88,2.22,-2.29,2.59,-1.24,0.24,2.22,4.56,8.5765,9.467600000000004,10.4464,91.237,99.652,103.678,810.8511222301858,8.756784262066654,9.035756167367946,11.0981570674519,94.60507948559898,104.89878994549116,98.46340357016092,832.9351511544908,15.122065827571944,7.595738105820439,11.358901966696191,9.477320036258316,13.115555555555554,12.7557083672001,12.935631961377826,12.845670164288963,5.781333333333333,2.7113038822289424,4.246318607781138,3.47881124500504,0.3520556946365087,1.6933896759668083
7,RIGHUK01,16.93,9.88,11.29,0.01,2.32,0.01,9.88,23.54,8.69,0.01,2.27,0.0,11.29,8.69,22.05,-0.06,1.55,0.01,0.01,0.01,-0.06,3.94,0.04,2.69,2.32,2.27,1.55,0.04,4.06,-0.02,0.01,0.0,0.01,2.69,-0.02,3.91,11.338,15.39,7.639,90.0,106.04,90.0,1281.0502492288194,11.372904372019256,15.44503613659838,7.438673056454636,89.99444147346048,105.13531864255002,90.00721910107882,1261.314613321341,12.301525331449845,8.414397064431316,10.35796119794058,9.386179131185948,13.58222222222222,12.330872028724105,12.956547125473163,12.643709577098633,4.559333333333333,3.034907236224834,3.7971202847790835,3.4160137605019587,0.36650778719988225,0.9151880864564504
8,HETHAQ,45.76,17.5,21.86,0.0,-0.0,-0.0,17.5,32.61,17.38,-0.0,0.0,-0.0,21.86,17.38,32.01,0.0,-0.0,-0.0,0.0,-0.0,0.0,8.35,0.0,0.0,-0.0,0.0,-0.0,0.0,10.57,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,7.63,7.411,15.75,16.116,90.0,90.0,90.0,1881.111897,7.354723003322301,15.840964390600387,16.235221417641696,90.00000767091817,89.9998202092343,90.00032214876748,1891.4991673188888,23.82128182406055,22.941038608489105,23.38116021627483,23.161099412381965,24.873333333333335,23.983607463994094,24.428470398663713,24.206038931328905,8.886000000000001,8.556396096718618,8.721198048359309,8.638797072538964,0.34047874685856266,0.09203393740419737
9,FOPPOR,9.65,9.06,10.34,-0.02,-0.03,-0.0,9.06,11.17,8.93,-0.01,-0.35,-0.0,10.34,8.93,16.42,-0.02,-2.27,-0.0,-0.02,-0.01,-0.02,2.04,-0.0,-0.29,-0.03,-0.35,-2.27,-0.0,5.81,0.0,-0.0,-0.0,-0.0,-0.29,0.0,2.43,11.8178,6.1413,12.0958,90.0,95.858,90.0,873.2883668257408,11.902750762464777,6.080421021233136,12.124977343207284,89.9993575013549,96.13970530708762,89.99852420822748,872.4964542478789,7.3294550810014725,3.467191706310381,5.398323393655927,4.432757549983154,10.433333333333332,9.466437072528333,9.949885202930833,9.708161137729583,2.65,1.2047591147901167,1.9273795573950583,1.5660693360925875,0.4090201675212029,1.7653285701183328
10,FEMQEU,19.99,8.67,7.35,-0.0,-1.26,-0.0,8.67,19.02,9.24,-0.0,-0.17,0.0,7.35,9.24,14.55,0.0,-0.12,-0.0,-0.0,-0.0,0.0,3.19,0.0,0.06,-1.26,-0.17,-0.12,0.0,2.48,-0.0,-0.0,0.0,-0.0,0.06,-0.0,4.44,10.0827,20.434,17.282,90.0,106.07,90.0,3421.475046619694,10.09473969316588,20.044462020868764,16.73328391837503,89.99944888260771,104.86734734414271,90.00066671401906,3272.522643492713,10.538677443310364,9.605662896714671,10.072170170012518,9.838916533363594,11.564444444444442,11.194494779041612,11.379469611743026,11.28698219539232,3.908666666666667,3.539331529906418,3.7239990982865425,3.6316653140964803,0.3524658374280228,0.2243173813994207
11,CACTUX,26.46,6.97,6.67,0.09,0.71,-0.79,6.97,21.67,7.48,0.72,-0.49,1.56,6.67,7.48,17.9,2.13,0.88,0.63,0.09,0.72,2.13,2.0,0.15,0.43,0.71,-0.49,0.88,0.15,2.85,-0.3,-0.79,1.56,0.63,0.43,-0.3,3.7,7.9048,7.913600000000001,10.4368,78.41299999999998,87.47100000000002,76.97,623.1052518985978,7.903286493433507,7.870077154223597,10.599630566228551,79.43051711515852,87.80096586681971,77.45362779041359,632.6282042070806,12.48473010736873,8.788779425312732,10.636754766340731,9.712767095826731,12.030000000000001,10.966025437507822,11.498012718753913,11.232019078130868,4.704,3.2159778722696224,3.959988936134811,3.587983404202217,0.34553026423137045,0.8553631221217057
12,REBHOX,31.36,8.19,13.3,-0.0,-0.61,-0.0,8.19,27.92,6.77,-0.0,0.13,0.06,13.3,6.77,20.27,-0.01,1.9,0.0,-0.0,-0.0,-0.01,1.91,0.0,-0.9,-0.61,0.13,1.9,0.0,5.41,-0.01,-0.0,0.06,0.0,-0.9,-0.01,3.11,18.444,5.5567,20.538,90.0,101.62,90.0,2061.7541189988965,18.808835913146872,5.535881616884282,19.402401725339463,89.99944116783229,100.2731022503866,90.00548577438164,1987.8589283041124,14.728298271138897,9.565236703933705,12.146767487536302,10.856002095735004,15.118888888888888,14.265109434990748,14.691999161939819,14.478554298465284,5.505333333333332,3.4450838866353477,4.47520860998434,3.9601462483098437,0.3617374632932819,1.0498100169996654
13,TAVKAE,29.47,7.28,7.72,-0.0,-0.6,0.01,7.28,14.68,10.25,0.0,-1.39,-0.0,7.72,10.25,17.52,-0.0,-0.56,0.01,-0.0,0.0,-0.0,2.08,0.0,-0.91,-0.6,-1.39,-0.56,0.0,2.68,0.0,0.01,-0.0,0.01,-0.91,0.0,5.03,7.869,24.188,12.5034,90.0,125.238,90.0,1943.7632842574417,7.842068092951186,23.76041049049338,12.505598081081576,90.00017838805395,124.37562409225,90.00076904704721,1923.2208615486368,11.776561183454614,8.577651451791182,10.177106317622897,9.377378884707039,12.463333333333333,11.5106538052809,11.986993569307117,11.748823687294008,4.385999999999999,3.117329382546563,3.751664691273281,3.434497036909922,0.35829458147796805,0.7676150265298912
14,VONJUG,15.54,10.91,10.75,0.0,0.58,-0.0,10.91,16.74,7.71,-0.0,1.56,0.01,10.75,7.71,25.4,-0.0,-2.91,0.02,0.0,-0.0,-0.0,3.18,0.0,1.04,0.58,1.56,-2.91,0.0,4.74,0.01,-0.0,0.01,0.02,1.04,0.01,6.68,10.4719,8.7995,21.319,90.0,92.919,90.0,1961.943332962364,10.133836559856274,8.655387752366071,21.91405308908677,90.00133444350097,91.0871885962311,89.99948326886842,1921.7856433362972,12.832341602849239,10.201604947120057,11.516973274984647,10.859289111052352,12.935555555555554,12.606396704246016,12.770976129900784,12.6886864170734,4.807333333333333,3.736505057977594,4.271919195655464,4.004212126816529,0.3495267881224858,0.5640600924303871
15,EGOWAB,15.83,8.82,9.94,0.01,-0.92,0.01,8.82,18.17,8.85,-0.0,-0.71,0.0,9.94,8.85,14.54,-0.0,1.91,0.01,0.01,-0.0,-0.0,3.58,0.01,-0.09,-0.92,-0.71,1.91,0.01,12.21,0.01,0.01,0.0,0.01,-0.09,0.01,2.99,20.776,4.8989,31.193000000000005,90.0,108.04,90.0,3018.7375073018693,20.37339130275011,4.925677265022292,31.21581160500361,89.9969835426674,107.49958981727276,90.00195503165334,2987.61335274821,13.450660492895132,10.048162573501138,11.749411533198135,10.898787053349636,11.528888888888888,11.47247586331633,11.50068237610261,11.48657911970947,5.151333333333334,3.71047875412561,4.430906043729472,4.070692398927541,0.3292870557179361,0.7336583795264634
16,PHBZAC05,47.96,17.43,23.66,0.01,18.59,-0.0,17.43,19.0,11.64,0.0,4.94,-0.0,23.66,11.64,22.83,0.0,7.8,-0.0,0.01,0.0,0.0,4.7,0.0,1.88,18.59,4.94,7.8,0.0,12.66,0.01,-0.0,-0.0,-0.0,1.88,0.01,5.51,6.7404,6.4327,17.292,90.0,97.17,90.0,743.9003208778131,6.636266642358325,6.335779139952455,17.42114435840277,90.00249394023645,97.1379656967835,89.99873377548255,726.8111217389622,19.069864222863057,11.68719473426787,15.378529478565463,13.532862106416665,21.694444444444443,12.730238913050192,17.21234167874732,14.971290295898754,7.044666666666666,4.338266381858612,5.691466524262639,5.014866453060625,0.35108277657395226,1.2080173518882658
17,DACQOO,20.99,10.18,8.67,0.01,-0.0,-0.02,10.18,12.42,8.47,0.02,0.0,-0.01,8.67,8.47,26.43,0.0,-0.0,0.01,0.01,0.02,0.0,3.84,0.0,-0.0,-0.0,0.0,-0.0,0.0,2.74,0.0,-0.02,-0.01,0.01,-0.0,0.0,4.64,14.98,12.115,24.997,90.0,90.0,90.0,4536.523051899993,14.844801659290978,11.995888854510593,25.04484124554649,90.00028300275044,89.99803186043425,89.99988907548942,4459.899942741608,11.864271352062389,10.099310430604111,10.981790891333251,10.54055066096868,12.719999999999999,11.454220782764807,12.087110391382403,11.770665587073605,4.412,3.7320586431936205,4.07202932159681,3.9020439823952153,0.34856099498479093,0.38864774861295326
18,XAYRIY,12.65,6.43,6.64,-0.0,-1.11,0.01,6.43,16.4,10.1,0.0,-0.12,-0.0,6.64,10.1,18.73,-0.01,0.96,-0.01,-0.0,0.0,-0.01,5.67,0.01,-0.5,-1.11,-0.12,0.96,0.01,3.49,-0.01,0.01,-0.0,-0.01,-0.5,-0.01,2.17,6.776,6.983,18.299,90.0,90.23,90.0,865.8432933325336,6.928097971527469,7.00052720927403,17.81106875965609,89.9987800390431,89.45443991929592,90.00124113162899,863.8037010798707,10.422207105064249,9.052289715794206,9.737248410429228,9.394769063111717,10.457777777777777,9.770478542059662,10.11412815991872,9.94230335098919,3.9066666666666667,3.3637021062304453,3.635184386448556,3.4994432463395007,0.33951834219968696,0.34144613007801605
19,APASOC,14.39,10.76,8.3,0.0,0.04,-0.01,10.76,15.74,9.16,0.0,-0.04,-0.0,8.3,9.16,14.88,0.0,0.01,0.01,0.0,0.0,0.0,4.54,0.0,0.0,0.04,-0.04,0.01,0.0,3.64,-0.0,-0.01,-0.0,0.01,0.0,-0.0,3.75,9.33788,16.3263,18.0839,90.0,90.0,90.0,2756.945353629468,9.272519346908306,16.387416856421233,18.014379162624994,89.99838531421669,90.00191479870546,90.00161096970751,2737.332465268427,9.528322883732562,8.978762743955468,9.253542813844014,9.11615277889974,11.27222222222222,11.15409305747654,11.213157639849381,11.18362534866296,3.505333333333333,3.2869072705696976,3.396120301951515,3.3415137862606064,0.36245176572546345,0.14425054905256274
20,LEPRUU,23.03,11.31,11.02,-0.0,-1.2,-0.0,11.31,18.31,11.07,-0.0,1.2,-0.0,11.02,11.07,15.37,-0.0,0.58,-0.0,-0.0,-0.0,-0.0,7.76,0.0,0.55,-1.2,1.2,0.58,0.0,5.25,0.0,-0.0,-0.0,-0.0,0.55,0.0,4.87,19.834,14.899,16.797,90.0,98.381,90.0,4910.619191988029,19.8212111342512,14.766099690743244,16.480728200899478,89.99970928189694,98.06642983767637,90.00079632074485,4775.887544317839,13.684801295896328,12.053774336276831,12.86928781608658,12.461531076181705,13.723333333333336,13.248567814213498,13.485950573773417,13.367259193993458,5.13,4.469778214138775,4.799889107069387,4.634833660604081,0.3409148682894991,0.3100615416735622
21,CEMVOI,11.48,6.23,6.12,0.0,-0.98,0.0,6.23,14.4,7.61,0.0,-0.71,-0.0,6.12,7.61,11.99,-0.0,-1.42,-0.0,0.0,0.0,-0.0,1.07,-0.0,-0.13,-0.98,-0.71,-1.42,-0.0,0.69,-0.0,0.0,-0.0,-0.0,-0.13,-0.0,1.37,10.745,17.993,13.233,90.0,95.649,90.0,2545.9745540390377,10.647530799339629,17.73022567229799,13.276718303615736,89.99966068697587,94.4433622709181,90.00027319957383,2498.8870713357464,5.101902702702704,3.234622651992117,4.1682626773474105,3.701442664669764,8.643333333333333,6.684435139719807,7.66388423652657,7.174159688123188,1.8200000000000003,1.1394737180569943,1.4797368590284972,1.3096052885427456,0.40929794639083156,1.0781634101520723
22,YARGEE,17.02,9.22,9.15,0.66,-0.4,-2.38,9.22,18.29,12.45,-2.15,-0.05,-2.49,9.15,12.45,15.43,-0.87,-0.9,0.29,0.66,-2.15,-0.87,5.06,0.45,0.15,-0.4,-0.05,-0.9,0.45,2.09,0.12,-2.38,-2.49,0.29,0.15,0.12,4.96,14.5731,15.611,19.079,69.59,75.26099999999998,61.70300000000001,3560.938219099045,14.294085039785433,15.479831766244368,19.140424236076427,70.33675399357557,76.25123854887163,62.0899447099509,3507.946931810211,10.226280029119145,7.248358167622127,8.737319098370637,7.992838632996382,12.486666666666666,11.744603028166653,12.11563484741666,11.930118937791656,3.75,2.5940000674972064,3.172000033748603,2.883000050622905,0.3796019246567723,0.8263877149937269
23,GIXLEG,24.9,7.58,8.8,0.72,-2.24,2.15,7.58,16.0,8.11,0.43,0.87,-1.57,8.8,8.11,20.53,0.11,1.78,0.75,0.72,0.43,0.11,2.44,0.45,0.89,-2.24,0.87,1.78,0.45,3.93,-0.49,2.15,-1.57,0.75,0.89,-0.49,3.65,11.006,12.649500000000002,13.3854,100.604,104.683,92.123,1765.0020232790127,10.935827759199714,12.368081006858247,13.282795443477484,98.38408591877428,103.35140580117184,94.4072972748888,1717.8925844266892,11.949713270333577,8.701711699457613,10.325712484895595,9.513712092176604,12.267777777777777,11.720143328178208,11.993960552977992,11.8570519405781,4.466666666666667,3.161368653115383,3.814017659891025,3.4876931565032043,0.35624080400841024,0.7742166563258263
24,DARYAX,13.7,6.68,6.44,0.01,-0.0,0.0,6.68,13.35,8.02,-0.98,-0.0,-0.0,6.44,8.02,13.37,0.95,-0.0,-0.0,0.01,-0.98,0.95,1.93,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.91,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.92,23.3036,23.3036,8.5915,90.0,90.0,90.0,4665.680856385839,23.246829296140994,23.245149185696675,8.458893494004439,90.00340472362012,89.99986412713264,90.00279323039638,4570.983144788374,6.718019819579611,5.8073724700672305,6.262696144823421,6.035034307445326,9.18888888888889,9.17584736896904,9.182368128928964,9.179107748949,2.437333333333333,2.08221636767544,2.2597748505043866,2.170995609089913,0.38627919586040443,0.3521201954997009
25,KAJSEU,15.01,10.32,12.58,-0.01,1.99,-0.02,10.32,15.85,9.45,-0.0,1.41,-0.0,12.58,9.45,20.71,0.0,-1.6,0.01,-0.01,-0.0,0.0,4.61,0.0,1.88,1.99,1.41,-1.6,0.0,5.62,-0.0,-0.02,-0.0,0.01,1.88,-0.0,3.07,8.8746,23.8295,9.5116,90.0,115.428,90.0,1816.6256126484868,8.666132130681895,24.018466845538885,9.512249296371172,89.99573785142458,114.83699345378636,90.00159459354637,1796.815723354606,10.732559526597656,7.719720080354451,9.226139803476054,8.472929941915252,12.91888888888889,12.276421586184329,12.59765523753661,12.43703841186047,3.941333333333334,2.7665363677145005,3.3539348505239173,3.060235609119209,0.377733141331831,0.7930380080329219
26,IMOCAR,17.25,8.89,9.46,0.0,2.79,-0.0,8.89,15.62,10.77,-0.0,-0.11,-0.0,9.46,10.77,18.46,-0.0,-0.46,0.0,0.0,-0.0,-0.0,5.13,-0.0,-0.17,2.79,-0.11,-0.46,-0.0,5.26,-0.0,-0.0,-0.0,0.0,-0.17,-0.0,2.15,8.2653,21.217,11.788,90.0,99.055,90.0,2041.439048405194,8.328471519108232,21.228414789426356,11.804981744463555,90.00049910568355,99.02601690907647,89.99929875411173,2061.2792743660466,10.787870425223803,9.23441875600997,10.011144590616887,9.62278167331343,12.174444444444443,11.894729758145495,12.034587101294969,11.964658429720231,3.9886666666666666,3.368728092597136,3.6786973796319016,3.523712736114519,0.36129449380326606,0.3784350142475446
27,UKIPEM,25.72,5.34,10.62,-1.92,-0.9,0.26,5.34,13.49,6.17,1.82,-0.51,0.17,10.62,6.17,27.9,-6.97,2.05,-0.98,-1.92,1.82,-6.97,3.88,-1.3,-0.01,-0.9,-0.51,2.05,-1.3,5.08,-1.04,0.26,0.17,-0.98,-0.01,-1.04,1.73,7.0451,7.391800000000001,12.781999999999998,76.201,81.124,73.395,616.8073850248,7.161252090388242,7.693139724224915,13.55178463395091,69.41525825452578,75.8319378873075,65.7788967026797,632.9721411353992,13.536927748856288,5.326969122582288,9.431948435719288,7.379458779150788,12.374444444444444,10.401176297617438,11.387810371030941,10.894493334324189,5.136666666666668,1.882798185319486,3.509732425993077,2.6962653056562815,0.36025599805209896,2.250932275923847
28,PIDBOW,20.5,5.93,9.38,-0.0,-0.49,-0.0,5.93,18.49,10.42,0.0,0.61,-0.0,9.38,10.42,15.58,0.0,-0.91,-0.0,-0.0,0.0,0.0,3.19,0.0,0.69,-0.49,0.61,-0.91,0.0,4.5,-0.0,-0.0,-0.0,-0.0,0.69,-0.0,2.39,10.1639,6.2896,22.0115,90.0,93.038,90.0,1405.1486299515836,10.212669089031037,6.318654591940031,21.926433532091057,89.99911192263097,92.8220761030174,90.0004243258122,1413.2040006274826,10.631251633487771,8.94288395116181,9.787067792324791,9.364975871743301,11.78111111111111,11.763171258467056,11.772141184789083,11.76765622162807,3.9386666666666668,3.2560008870014947,3.5973337768340805,3.4266673319177876,0.36133437027617565,0.42562157769677483
29,XILQER,17.62,9.81,9.33,-1.57,-0.36,1.16,9.81,23.96,7.11,1.39,-0.24,1.46,9.33,7.11,16.87,-0.28,0.14,-2.29,-1.57,1.39,-0.28,6.15,-0.63,1.96,-0.36,-0.24,0.14,-0.63,5.16,-0.55,1.16,1.46,-2.29,1.96,-0.55,6.05,6.3265,7.513300000000001,10.2029,81.39499999999998,72.765,75.88,447.6335719202574,6.2887705258558855,7.305793278800731,10.19965974554952,82.21852742702198,72.0546893234692,74.62718342485977,429.1315468510908,14.632906123343194,12.028555072315724,13.330730597829458,12.679642835072592,12.327777777777778,12.060411814189274,12.194094795983526,12.1272533050864,5.618666666666667,4.509219303337662,5.063942985002164,4.786581144169913,0.31760858169745204,0.4923571490041671
30,HUJGOL,16.19,7.2,7.27,-0.01,0.07,0.01,7.2,14.32,8.98,0.01,0.91,0.0,7.27,8.98,12.5,-0.01,-0.23,0.01,-0.01,0.01,-0.01,3.69,-0.0,1.39,0.07,0.91,-0.23,-0.0,3.09,-0.0,0.01,0.0,0.01,1.39,-0.0,3.18,11.6485,7.7932,11.826399999999998,90.0,115.44,90.0,969.4898593759513,11.653067902381244,7.792283537057597,11.816163626481222,90.00209348390798,114.97935122089812,89.99873022747684,972.5908539014644,8.908295557025191,7.801533878577007,8.3549147178011,8.078224298189053,9.99,9.927506538176019,9.95875326908801,9.943129903632014,3.296,2.84930302687139,3.072651513435695,2.9609772701535424,0.36011746411609014,0.32571066247150193
31,GEPMIZ,25.13,12.03,5.54,-0.0,5.22,-0.01,12.03,21.48,10.21,-0.0,-1.81,-0.01,5.54,10.21,13.16,-0.0,-1.44,-0.01,-0.0,-0.0,-0.0,4.15,-0.0,0.48,5.22,-1.81,-1.44,-0.0,4.15,-0.0,-0.01,-0.01,-0.01,0.48,-0.0,7.61,11.6323,6.1923,14.4409,90.0,106.035,90.0,999.7175598688342,11.655947513752253,6.011814216010158,14.687255853381965,89.99989989851603,106.50982971680516,89.99812792583792,986.7535134470596,14.007507351036763,8.666218040424594,11.336862695730678,10.001540368077636,12.814444444444442,10.951711939593011,11.883078192018726,11.417395065805868,5.314666666666667,3.167211769129754,4.240939217898211,3.704075493513982,0.34052692124867534,1.168040516043984
32,UBAHIR,13.33,11.71,12.27,-0.11,2.26,0.02,11.71,26.9,10.41,-0.18,5.6,-0.05,12.27,10.41,14.6,0.06,2.46,-0.0,-0.11,-0.18,0.06,2.55,0.01,0.67,2.26,5.6,2.46,0.01,7.39,-0.01,0.02,-0.05,-0.0,0.67,-0.01,2.1,4.0382,8.9362,12.1015,90.0,93.76300000000002,90.0,435.7552068760566,5.352544719567342,8.976998597040582,8.872047258137965,89.89737674676803,90.36230940037844,90.10891565850793,426.2900080325496,10.363590222498924,5.478889333108378,7.921239777803651,6.700064555456015,13.734444444444442,11.769794815076475,12.752119629760458,12.260957222418465,3.770666666666666,1.925909679045749,2.8482881728562077,2.3870989259509785,0.3960596291503073,1.5102202475436342
33,YIRKIV,16.21,10.97,7.82,-0.03,0.15,0.02,10.97,18.0,14.17,-0.02,0.04,0.14,7.82,14.17,56.99,-0.02,-5.6,0.06,-0.03,-0.02,-0.02,10.07,0.0,-3.07,0.15,0.04,-5.6,0.0,1.85,0.01,0.02,0.14,0.06,-3.07,0.01,4.81,7.2363,8.068,17.736,90.0,113.78000000000002,90.0,947.5604254976652,7.505253084267525,8.093247887342903,19.408792794251728,89.9988659270098,126.26684044940212,89.99991295521842,950.5339293164612,19.055872398017964,8.174682116833901,13.615277257425934,10.894979687129918,17.45777777777778,13.632866327031195,15.545322052404487,14.58909418971784,7.228666666666667,2.919400900008511,5.074033783337589,3.9967173416730497,0.35281278894301854,2.0424168567898824
34,HAKCAA,17.49,7.76,11.88,0.0,1.66,-0.01,7.76,15.83,8.86,-0.0,0.18,-0.0,11.88,8.86,14.31,0.0,1.86,-0.02,0.0,-0.0,0.0,2.68,-0.0,1.33,1.66,0.18,1.86,-0.0,4.87,-0.01,-0.01,-0.0,-0.02,1.33,-0.01,3.88,12.7142,11.8063,12.0701,90.0,95.742,90.0,1802.7236767628,12.98936505140393,11.635369599413991,11.830110062298836,90.00500016871696,96.4546083191564,89.99782231388448,1776.6228066848996,9.694112770348786,7.7795278351608355,8.736820302754811,8.258174068957823,11.625555555555556,11.217534273888727,11.42154491472214,11.319539594305434,3.5613333333333332,2.809682241474304,3.185507787403819,2.9975950144390615,0.3724100535244243,0.5312929902021652
35,MEFHOV,13.37,9.25,7.38,0.06,-1.17,-1.41,9.25,14.48,8.6,-1.35,-0.24,-0.45,7.38,8.6,13.54,-0.35,2.01,1.36,0.06,-1.35,-0.35,2.1,0.26,-0.51,-1.17,-0.24,2.01,0.26,3.04,-0.2,-1.41,-0.45,1.36,-0.51,-0.2,2.33,6.5446,11.378600000000002,13.9632,105.233,99.165,101.332,958.9680054668778,6.599986192259372,11.25703182372238,13.921044780391586,106.69426710002564,97.69702348026706,102.35029089691032,946.4291161821136,7.116336225945123,4.296601911901548,5.706469068923335,5.001535490412442,10.205555555555556,9.951110766072953,10.078333160814253,10.014721963443602,2.571333333333334,1.5043722415123422,2.037852787422838,1.77111251446759,0.40528326546493415,1.1989076058313983
